method,psnr_mean,ssim_mean,lpips_mean,l1_mean,psnr_drop_mean,iter_at_peak_mean,train_time_30k_min,s_per_1k,vram_mean_mb,gauss_final_mean,iters_to_target_mean,images_to_target_mean,time_to_target_min,psnr_at_target_mean,storage_at_target_mb,gauss_at_target_mean
4DGaussians (Wu et al.),37.811363754272456,0.983239039182663,0.02728361177258188,0.0027537757356185,0.008157596588134197,25400.0,18.786021025975547,37.5720420519511,1639.0,40184.4,8314.6,8314.6,3.4908382415771486,33.99076793670654,17.924,22696.6
4DGS native-4D (fudan-zvg),34.922109336853026,0.9739142149686814,0.03493301109410822,0.00418454110505986,0.6171820831298795,10400.0,112.98708037773767,225.97416075547534,2268.2,259236.2,5258.4,24597.6,15.970605119864144,34.43857587814331,70.02282,103236.8
Deformable-3DGS (Yang et al.),40.75829236984252,0.991096071600914,0.01383292439393696,0.0019928172964136597,0.013346176147457811,28800.0,36.67964464743932,73.35928929487864,3331.0,49552.6,8301.6,8301.6,6.7067092529932655,34.361080951690674,12.16438,40918.2
