method,method_short,scene,mode,run,partial,missing,status,target_reached,n_entries,best_psnr,best_psnr_iteration,process_wall_time_s,peak_vram_mb,model_storage_mb,full_folder_mb,target_eval_loss,max_iterations,batch_size,iteration_offset,eval_every_n_iters,eval_every_n_seconds,final_iteration,final_total_iterations,final_training_time_s,final_wall_time_s,final_benchmark_overhead_s,final_psnr,final_ssim,final_lpips,final_eval_l1_loss,final_num_gaussians,final_images_seen,best_psnr_iter,best_psnr_time_s,best_psnr_ngauss,best_ssim,best_ssim_iter,best_ssim_time_s,best_ssim_ngauss,best_lpips,best_lpips_iter,best_lpips_time_s,best_lpips_ngauss,best_eval_l1_loss,best_eval_l1_loss_iter,best_eval_l1_loss_time_s,best_eval_l1_loss_ngauss,fc_iteration,fc_total_iterations,fc_training_time_s,fc_wall_time_s,fc_images_seen,fc_psnr,fc_ssim,fc_lpips,fc_eval_l1_loss,fc_num_gaussians
4DGaussians (Wu et al.),4DGaussians,mutant,iterations,mutant_iters27000,False,False,finished,False,28,38.83313522338867,27000.0,1050.6668543815613,1609.0,20.0462,26.0491,0.0,27000,1,3000,1000,30.0,27000.0,30000.0,908.7863159179688,1020.2239651679993,111.43764925003052,38.83313522338867,0.9858533352613449,0.02092313803732395,0.0024101620248984544,30161.0,30000.0,27000.0,908.7863159179688,30161.0,0.98587626516819,26000.0,876.5812001228333,30161.0,0.02092313803732395,27000.0,908.7863159179688,30161.0,0.0024098250141832978,26000.0,876.5812001228333,30161.0,,,,,,,,,,
4DGaussians (Wu et al.),4DGaussians,mutant,target_eval_loss,mutant_loss0p003106,False,False,stopped_on_target,True,11,36.881244850158694,9716.0,402.4750897884369,1605.0,19.6661,22.4045,0.003106,27000,1,3000,1000,30.0,9716.0,12716.0,334.07384061813354,374.59096002578735,40.51711940765381,36.881244850158694,0.9814314931631088,0.02610656162723899,0.0029399681196082385,28554.0,12716.0,9716.0,334.07384061813354,28554.0,0.9814314931631088,9716.0,334.07384061813354,28554.0,0.02610656162723899,9716.0,334.07384061813354,28554.0,0.0029399681196082385,9716.0,334.07384061813354,28554.0,8805.0,11805.0,304.0476999282837,340.62616777420044,11805.0,36.38842134475708,0.9802903324365616,0.027228067722171546,0.003065851074643433,28176.0
4DGaussians (Wu et al.),4DGaussians,standup,iterations,standup_iters27000,False,False,finished,False,28,40.532894134521484,27000.0,935.2148416042328,1603.0,16.2719,22.0771,0.0,27000,1,3000,1000,30.0,27000.0,30000.0,795.752632856369,906.9606113433838,111.20797848701477,40.532894134521484,0.9893907159566879,0.016130980895832182,0.0016326091135852039,14203.0,30000.0,27000.0,795.752632856369,14203.0,0.9893907159566879,27000.0,795.752632856369,14203.0,0.016130980895832182,27000.0,795.752632856369,14203.0,0.0016326091135852039,27000.0,795.752632856369,14203.0,,,,,,,,,,
4DGaussians (Wu et al.),4DGaussians,standup,target_eval_loss,standup_loss0p002168,False,False,stopped_on_target,True,11,38.39200611114502,10428.0,401.06197214126587,1585.0,16.1568,18.8436,0.002168,27000,1,3000,1000,30.0,10428.0,13428.0,333.6206338405609,373.54711866378784,39.92648482322693,38.39200611114502,0.98617282807827,0.02096493816934526,0.001980033697327599,13716.0,13428.0,10428.0,333.6206338405609,13716.0,0.98617282807827,10428.0,333.6206338405609,13716.0,0.02096493816934526,10428.0,333.6206338405609,13716.0,0.001980033697327599,10428.0,333.6206338405609,13716.0,9382.0,12382.0,303.6101622581482,339.65472054481506,12382.0,37.713685035705566,0.984866201877594,0.022763665951788425,0.00213438558857888,13568.0
4DGaussians (Wu et al.),4DGaussians,trex,iterations,trex_iters27000,False,False,finished,False,28,33.40387020111084,27000.0,1475.6403799057007,1735.0,31.7254,38.2484,0.0,27000,1,3000,1000,30.0,27000.0,30000.0,1328.4740025997162,1442.2174000740051,113.74339747428894,33.40387020111084,0.9850053906440734,0.02036939519457519,0.003806001809425652,72110.0,30000.0,27000.0,1328.4740025997162,72110.0,0.9850053906440734,27000.0,1328.4740025997162,72110.0,0.02036939519457519,27000.0,1328.4740025997162,72110.0,0.0038031894946470857,24000.0,1173.6242423057556,72110.0,,,,,,,,,,
4DGaussians (Wu et al.),4DGaussians,trex,target_eval_loss,trex_loss0p005793,False,False,stopped_on_target,True,10,30.112404823303223,7033.0,374.9275743961334,1649.0,28.2593,30.857,0.005793,27000,1,3000,1000,30.0,7033.0,10033.0,305.989972114563,342.9658725261688,36.975900411605835,30.112404823303223,0.9749471783638001,0.031777026038616894,0.0054689519573003055,57455.0,10033.0,7033.0,305.989972114563,57455.0,0.9749471783638001,7033.0,305.989972114563,57455.0,0.031777026038616894,7033.0,305.989972114563,57455.0,0.0054689519573003055,7033.0,305.989972114563,57455.0,6368.0,9368.0,275.9619038105011,308.8777494430542,9368.0,29.92449140548706,0.9739668607711792,0.03374772239476442,0.005578108422923833,54157.0
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,False,finished,False,31,33.2451189994812,16000.0,3628.22523522377,1685.0,,,0.02,30000,2,0,1000,300.0,30000.0,30000.0,3462.619880437851,3591.0095131397247,128.38963270187378,33.05039329528809,0.9834076225757599,0.029445787006989122,0.0049384054145775735,126958.0,60000.0,16000.0,1830.0744676589966,126958.0,0.9840422093868255,13000.0,1461.1402118206024,126958.0,0.02884350512176752,14000.0,1584.822811126709,126958.0,0.004840966581832617,18000.0,2073.073882818222,126958.0,,,,,,,,,,
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,False,stopped_on_target,True,39,32.95637502670288,9896.0,1349.5538141727448,1771.0,77.0386,483.2027,0.005083,30000,2,0,1000,30.0,10141.0,10141.0,1142.3722932338715,1314.4550325870514,172.08273935317993,32.91668329238892,0.9838807076215744,0.02985876575112343,0.005067770567256958,125436.0,20282.0,9896.0,1112.3409216403961,125436.0,0.9838931649923325,9896.0,1112.3409216403961,125436.0,0.02985876575112343,10141.0,1142.3722932338715,125436.0,0.005038609250914305,9896.0,1112.3409216403961,125436.0,8916.0,8916.0,992.0904884338379,1141.359799861908,17832.0,32.80524339675903,0.9836497336626053,0.030716884462162853,0.0050820823758840564,119062.0
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,False,finished,False,31,33.93004302978515,10000.0,2487.4043452739716,2539.0,146.7354,1253.2221,0.0,30000,1,0,1000,30.0,30000.0,30000.0,2186.04620718956,2320.7418053150177,134.69559812545776,33.711670875549316,0.9512358546257019,0.06988745909184217,0.005216945533175021,410118.0,30000.0,10000.0,516.0188376903534,238918.0,0.9544995129108429,8000.0,384.6724421977997,190609.0,0.0698848657310009,29000.0,2099.318328142166,410118.0,0.005103094875812531,10000.0,516.0188376903534,238918.0,,,,,,,,,,
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,target_eval_loss,hellwarrior_loss0p005358,False,False,stopped_on_target,True,12,33.88154420852661,5983.0,559.4795987606049,1645.0,73.746,458.1721,0.005358,30000,1,0,1000,30.0,6545.0,6545.0,330.26595520973206,387.7693808078766,57.50342559814453,33.71695404052734,0.953313997387886,0.08434499520808458,0.0052207679953426124,120075.0,6545.0,5983.0,300.24291253089905,123855.0,0.9545136839151382,5983.0,300.24291253089905,123855.0,0.08434499520808458,6545.0,330.26595520973206,120075.0,0.0050983758410438895,5983.0,300.24291253089905,123855.0,4836.0,4836.0,240.21802353858948,284.40300488471985,4836.0,33.66022806167602,0.9532923817634582,0.08901002928614617,0.005244447477161884,80189.0
