method,method_short,scene,mode,run,partial,missing,status,target_reached,n_entries,best_psnr,best_psnr_iteration,process_wall_time_s,peak_vram_mb,model_storage_mb,full_folder_mb,target_eval_loss,max_iterations,batch_size,iteration_offset,eval_every_n_iters,eval_every_n_seconds,final_iteration,final_total_iterations,final_training_time_s,final_wall_time_s,final_benchmark_overhead_s,final_psnr,final_ssim,final_lpips,final_eval_l1_loss,final_num_gaussians,final_images_seen,best_psnr_iter,best_psnr_time_s,best_psnr_ngauss,best_ssim,best_ssim_iter,best_ssim_time_s,best_ssim_ngauss,best_lpips,best_lpips_iter,best_lpips_time_s,best_lpips_ngauss,best_eval_l1_loss,best_eval_l1_loss_iter,best_eval_l1_loss_time_s,best_eval_l1_loss_ngauss,fc_iteration,fc_total_iterations,fc_training_time_s,fc_wall_time_s,fc_images_seen,fc_psnr,fc_ssim,fc_lpips,fc_eval_l1_loss,fc_num_gaussians
4DGS native-4D (fudan-zvg),4DGS-fudan,trex,target_eval_loss,trex_loss0p005793,False,False,stopped_on_target,True,91,30.359226608276366,3096.0,3618.0695350170135,2689.0,225.6054,1377.1416,0.005793,30000,24,0,1000,30.0,3096.0,3096.0,2746.7139959335327,3434.5593044757843,687.8453085422516,30.359226608276366,0.9770933777093888,0.027656340412795542,0.005622362811118364,367336.0,74304.0,3096.0,2746.7139959335327,367336.0,0.9770933777093888,3096.0,2746.7139959335327,367336.0,0.027656340412795542,3096.0,2746.7139959335327,367336.0,0.005622362811118364,3096.0,2746.7139959335327,367336.0,3065.0,3065.0,2716.1795608997345,3387.5430994033813,73560.0,30.292769718170167,0.9766714036464691,0.028224657569080592,0.005736992973834276,367336.0
Deformable-3DGS (Yang et al.),Deformable-3DGS,bouncingballs,iterations,bouncingballs_iters30000,False,False,finished,False,31,40.65760498046875,28000.0,3233.2903413772583,3515.0,,,0.02,30000,1,0,1000,300.0,30000.0,30000.0,3055.3847041130066,3200.6866371631622,145.30193305015564,40.6409517288208,0.9957213282585144,0.008993759844452142,0.0020696708001196385,67011.0,30000.0,28000.0,2824.310201883316,67011.0,0.9957667112350463,29000.0,2939.813441991806,67011.0,0.008993759844452142,30000.0,3055.3847041130066,67011.0,0.0020631009130738674,29000.0,2939.813441991806,67011.0,,,,,,,,,,
Deformable-3DGS (Yang et al.),Deformable-3DGS,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,False,stopped_on_target,True,11,32.14067888259888,5636.0,382.77004647254944,3515.0,12.2945,15.9681,0.005083,30000,1,0,1000,30.0,5991.0,5991.0,300.2661392688751,352.00610637664795,51.73996710777283,31.42466297149658,0.9844507604837418,0.027333145961165428,0.0047838018042966725,43521.0,5991.0,5636.0,270.238783121109,41239.0,0.9846430271863937,5636.0,270.238783121109,41239.0,0.027333145961165428,5991.0,300.2661392688751,43521.0,0.0047785414848476645,5636.0,270.238783121109,41239.0,5636.0,5636.0,270.238783121109,317.5725190639496,5636.0,32.14067888259888,0.9846430271863937,0.030790695734322072,0.0047785414848476645,41239.0
Deformable-3DGS (Yang et al.),Deformable-3DGS,hellwarrior,iterations,hellwarrior_iters30000,False,False,finished,False,31,41.06780471801758,29000.0,1276.4511632919312,3113.0,6.1929,14.0307,0.0,30000,1,0,1000,30.0,30000.0,30000.0,1132.601886510849,1254.448972940445,121.84708642959595,41.03799552917481,0.9863467425107956,0.027048795437440275,0.0018999871448613704,17723.0,30000.0,29000.0,1091.7201035022736,17723.0,0.9863709717988968,29000.0,1091.7201035022736,17723.0,0.027048795437440275,30000.0,1132.601886510849,17723.0,0.0018942582595627756,29000.0,1091.7201035022736,17723.0,,,,,,,,,,
Deformable-3DGS (Yang et al.),Deformable-3DGS,hellwarrior,target_eval_loss,hellwarrior_loss0p005358,False,False,stopped_on_target,True,6,35.054840660095216,5753.0,195.721120595932,3113.0,4.8976,8.5109,0.005358,30000,1,0,1000,30.0,5753.0,5753.0,150.0553605556488,173.0327591896057,22.97739863395691,35.054840660095216,0.9607116341590881,0.07710561007261277,0.00401893318630755,12246.0,5753.0,5753.0,150.0553605556488,12246.0,0.9607116341590881,5753.0,150.0553605556488,12246.0,0.07710561007261277,5753.0,150.0553605556488,12246.0,0.00401893318630755,5753.0,150.0553605556488,12246.0,4887.0,4887.0,120.01931071281433,139.009024143219,4887.0,34.423896408081056,0.9579458683729172,0.08507145345211028,0.004350359051022679,9454.0
Deformable-3DGS (Yang et al.),Deformable-3DGS,hook,iterations,hook_iters30000,False,False,finished,False,31,36.76893892288208,28000.0,2702.682200908661,2999.0,16.441,24.2787,0.0,30000,1,0,1000,30.0,30000.0,30000.0,2544.635057449341,2679.0876145362854,134.45255708694458,36.7601357460022,0.985181137919426,0.017201113887131213,0.003136735799489543,61053.0,30000.0,28000.0,2347.359231233597,61053.0,0.985181137919426,30000.0,2544.635057449341,61053.0,0.017201113887131213,30000.0,2544.635057449341,61053.0,0.0031197622301988304,28000.0,2347.359231233597,61053.0,,,,,,,,,,
Deformable-3DGS (Yang et al.),Deformable-3DGS,hook,target_eval_loss,hook_loss0p006253,False,False,stopped_on_target,True,19,31.415509510040284,7941.0,644.9933273792267,2999.0,15.3208,19.5974,0.006253,30000,1,0,1000,30.0,9595.0,9595.0,540.6536478996277,620.9286696910858,80.27502179145813,30.903350925445558,0.9615158051252365,0.040665567573159936,0.006179517565760762,56317.0,9595.0,7941.0,390.39779710769653,52186.0,0.964695593714714,7941.0,390.39779710769653,52186.0,0.040665567573159936,9595.0,540.6536478996277,56317.0,0.005723971442785114,7941.0,390.39779710769653,52186.0,7941.0,7941.0,390.39779710769653,448.23792338371277,7941.0,31.415509510040284,0.964695593714714,0.04447998115792871,0.005723971442785114,52186.0
Deformable-3DGS (Yang et al.),Deformable-3DGS,jumpingjacks,iterations,jumpingjacks_iters30000,False,False,finished,False,31,37.21092548370361,30000.0,1750.8845720291138,3695.0,9.4436,17.3193,0.0,30000,1,0,1000,30.0,30000.0,30000.0,1574.3018901348114,1707.365903377533,133.06401324272156,37.21092548370361,0.9889954626560211,0.014513738558162004,0.002151604164100718,31467.0,30000.0,30000.0,1574.3018901348114,31467.0,0.9889954626560211,30000.0,1574.3018901348114,31467.0,0.014513738558162004,30000.0,1574.3018901348114,31467.0,0.002151604164100718,30000.0,1574.3018901348114,31467.0,,,,,,,,,,
Deformable-3DGS (Yang et al.),Deformable-3DGS,jumpingjacks,target_eval_loss,jumpingjacks_loss0p00461,False,False,stopped_on_target,True,14,32.12286186218262,10098.0,476.9498314857483,3689.0,8.8293,13.2307,0.00461,30000,1,0,1000,30.0,10098.0,10098.0,390.2987174987793,447.25750613212585,56.95878863334656,32.12286186218262,0.9774862706661225,0.02869368437677622,0.0037638307287124915,28870.0,10098.0,10098.0,390.2987174987793,28870.0,0.9774862706661225,10098.0,390.2987174987793,28870.0,0.02869368437677622,10098.0,390.2987174987793,28870.0,0.0037638307287124915,10098.0,390.2987174987793,28870.0,9567.0,9567.0,360.26488733291626,413.0358290672302,9567.0,30.349819660186768,0.9743810325860978,0.031053513614460827,0.004554809030378237,28124.0
Deformable-3DGS (Yang et al.),Deformable-3DGS,lego,iterations,lego_iters30000,False,False,finished,False,31,25.063347816467285,14000.0,5309.267605304718,3881.0,32.3203,40.139,0.0,30000,1,0,1000,30.0,30000.0,30000.0,5126.987102031708,5285.129350423813,158.1422483921051,24.945990371704102,0.94393390417099,0.0442133067175746,0.012430626014247537,128193.0,30000.0,14000.0,2012.840142250061,127602.0,0.9450328141450882,18000.0,2792.2978122234344,128193.0,0.043859042786061765,18000.0,2792.2978122234344,128193.0,0.012147994386032224,15000.0,2207.399609565735,128193.0,,,,,,,,,,
Deformable-3DGS (Yang et al.),Deformable-3DGS,lego,target_eval_loss,lego_loss0p013466,False,False,stopped_on_target,True,21,25.024059295654297,6486.0,733.1789870262146,3249.0,27.8261,31.5791,0.013466,30000,1,0,1000,30.0,6672.0,6672.0,601.142329454422,706.0756666660309,104.93333721160889,24.94510736465454,0.9401717215776444,0.054606716893613336,0.013426337437704206,109191.0,6672.0,6486.0,571.0499124526978,107596.0,0.9411141365766525,6486.0,571.0499124526978,107596.0,0.054606716893613336,6672.0,601.142329454422,109191.0,0.013326258352026343,6486.0,571.0499124526978,107596.0,6486.0,6486.0,571.0499124526978,671.0095148086548,6486.0,25.024059295654297,0.9411141365766525,0.05529376063495874,0.013326258352026343,107596.0
Deformable-3DGS (Yang et al.),Deformable-3DGS,mutant,iterations,mutant_iters30000,False,False,finished,False,31,41.85855560302734,29000.0,3041.050560951233,3513.0,19.486,27.3428,0.0,30000,1,0,1000,30.0,30000.0,30000.0,2867.8273940086365,3008.7891459465027,140.9617519378662,41.847090339660646,0.9941027879714965,0.006975015765056014,0.0016569568280829117,73928.0,30000.0,29000.0,2759.4386625289917,73928.0,0.9941510200500489,29000.0,2759.4386625289917,73928.0,0.006975015765056014,30000.0,2867.8273940086365,73928.0,0.0016534362424863503,29000.0,2759.4386625289917,73928.0,,,,,,,,,,
Deformable-3DGS (Yang et al.),Deformable-3DGS,mutant,target_eval_loss,mutant_loss0p003106,False,False,stopped_on_target,True,26,36.45288534164429,10235.0,892.6540517807007,3513.0,19.5837,24.0364,0.003106,30000,1,0,1000,30.0,10505.0,10505.0,751.1251699924469,862.9413771629333,111.81620717048645,36.03418598175049,0.9859594374895095,0.015552967647090554,0.0028325021034106613,74341.0,10505.0,10235.0,721.0193474292755,73974.0,0.9859594374895095,10505.0,751.1251699924469,74341.0,0.015552967647090554,10505.0,751.1251699924469,74341.0,0.0028173384023830296,10235.0,721.0193474292755,73974.0,10235.0,10235.0,721.0193474292755,828.3262569904327,10235.0,36.45288534164429,0.9857606023550034,0.015927875973284246,0.0028173384023830296,73974.0
Deformable-3DGS (Yang et al.),Deformable-3DGS,standup,iterations,standup_iters30000,False,False,finished,False,31,43.438557624816895,30000.0,1560.6950860023499,3515.0,8.6349,16.4915,0.0,30000,1,0,1000,30.0,30000.0,30000.0,1403.4443521499634,1528.1124172210693,124.66806507110596,43.438557624816895,0.9940105170011521,0.008945937035605311,0.0012335288367467002,28048.0,30000.0,30000.0,1403.4443521499634,28048.0,0.9940105170011521,30000.0,1403.4443521499634,28048.0,0.008945937035605311,30000.0,1403.4443521499634,28048.0,0.0012335288367467002,30000.0,1403.4443521499634,28048.0,,,,,,,,,,
Deformable-3DGS (Yang et al.),Deformable-3DGS,standup,target_eval_loss,standup_loss0p002168,False,False,stopped_on_target,True,21,39.17211990356445,14494.0,710.0547885894775,3515.0,8.7253,13.8663,0.002168,30000,1,0,1000,30.0,14494.0,14494.0,600.4456169605255,682.9745328426361,82.5289158821106,39.17211990356445,0.9896876096725464,0.013744797836989165,0.0017834077356383205,28430.0,14494.0,14494.0,600.4456169605255,28430.0,0.9896876096725464,14494.0,600.4456169605255,28430.0,0.013744797836989165,14494.0,600.4456169605255,28430.0,0.0017834077356383205,14494.0,600.4456169605255,28430.0,12809.0,12809.0,510.33753752708435,580.6710867881775,12809.0,37.37243461608887,0.9865058362483978,0.0166865564417094,0.0021269967197440564,27738.0
Deformable-3DGS (Yang et al.),Deformable-3DGS,trex,iterations,trex_iters30000,False,False,finished,False,31,37.67088356018066,30000.0,3723.1525049209595,5065.0,24.6514,32.5271,0.0,30000,1,0,1000,30.0,30000.0,30000.0,3553.6607089042664,3691.8788759708405,138.2181670665741,37.67088356018066,0.9930766344070434,0.010465209255926311,0.0021571319841314105,95768.0,30000.0,30000.0,3553.6607089042664,95768.0,0.9930766344070434,30000.0,3553.6607089042664,95768.0,0.010465209255926311,30000.0,3553.6607089042664,95768.0,0.0021571319841314105,30000.0,3553.6607089042664,95768.0,,,,,,,,,,
Deformable-3DGS (Yang et al.),Deformable-3DGS,trex,target_eval_loss,trex_loss0p005793,False,False,stopped_on_target,True,24,30.15293130874634,8425.0,826.2190597057343,5065.0,21.9495,26.184,0.005793,30000,1,0,1000,30.0,9131.0,9131.0,690.9234693050385,795.1415264606476,104.21805715560913,30.04146785736084,0.9767133355140686,0.02397567261941731,0.0056806867709383365,84344.0,9131.0,8425.0,600.7295241355896,83159.0,0.9783842116594315,8425.0,600.7295241355896,83159.0,0.023578356904909014,8899.0,660.8556971549988,85269.0,0.005320579744875431,8425.0,600.7295241355896,83159.0,8425.0,8425.0,600.7295241355896,690.9716310501099,8425.0,30.15293130874634,0.9783842116594315,0.024147299584001303,0.005320579744875431,83159.0
