method,method_short,scene,mode,run,partial,iteration_offset,iteration,total_iterations,images_seen,stage,training_time_s,wall_time_s,benchmark_overhead_s,psnr,ssim,lpips,eval_l1_loss,eval_photometric_loss,eval_loss,num_gaussians,train_batch_loss,eval_duration_s
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,16000,19000,19000,fine,1278.2765836715698,1357.1017007827759,78.82511711120605,37.05835275650024,0.9914098769426346,0.016443076264113187,0.002853608032455668,0.004000911037437613,0.002853608032455668,120372,0.0018188697285950184,4.589104413986206
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,17000,20000,20000,fine,1372.2021861076355,1455.6164076328278,83.41422152519226,37.05397663116455,0.991399759054184,0.016395607218146323,0.0028591429349035026,0.0040073625370860054,0.0028591429349035026,120372,0.0011465270072221756,4.588602542877197
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,18000,21000,21000,fine,1465.3395111560822,1553.3423352241516,88.00282406806946,37.100701904296876,0.9914500713348389,0.016273099603131412,0.0028617093921639025,0.003999353246763348,0.0028617093921639025,120372,0.0012808889150619507,4.555234909057617
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,19000,22000,22000,fine,1557.752457857132,1650.310516834259,92.55805897712708,37.11958723068237,0.991502869129181,0.016082134563475847,0.002875768125522882,0.004000040674582116,0.002875768125522882,120372,0.0014887575525790453,4.533460378646851
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,20000,23000,23000,fine,1650.4319469928741,1747.523466348648,97.09151935577393,37.07688035964966,0.991423499584198,0.01622930932790041,0.0028784211783204226,0.0040180370258167475,0.0028784211783204226,120372,0.0016008318634703755,4.555009365081787
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,21000,24000,24000,fine,1742.4671182632446,1844.1136469841003,101.64652872085571,37.10893125534058,0.9915051966905594,0.016054576728492975,0.00288880699663423,0.0040100062591955105,0.00288880699663423,120372,0.0015007109614089131,4.603213310241699
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,22000,25000,25000,fine,1834.7756159305573,1941.0253579616547,106.24974203109741,37.08490161895752,0.9914572298526764,0.016076322738081218,0.0029095759673509747,0.004036214803345506,0.0029095759673509747,120372,0.001210317830555141,4.588032245635986
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,23000,26000,26000,fine,1925.3076403141022,2036.1454145908356,110.8377742767334,36.93688564300537,0.9914965480566025,0.015937343006953597,0.002924402739154175,0.004040212580002845,0.002924402739154175,120372,0.0014412403106689453,4.524442672729492
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,24000,27000,27000,fine,2015.5344669818878,2130.8966839313507,115.36221694946289,37.0436393737793,0.9915119588375092,0.01592959533445537,0.0028910061460919677,0.004010413149371735,0.0028910061460919677,120372,0.0012337308144196868,4.546946287155151
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,25000,28000,28000,fine,2105.347707748413,2225.256870985031,119.90916323661804,37.06535482406616,0.9915353298187256,0.015852726344019175,0.0028927587263751775,0.004007141017355021,0.0028927587263751775,120372,0.001358744571916759,4.5952253341674805
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,26000,29000,29000,fine,2195.0515899658203,2319.555978536606,124.50438857078552,37.10366630554199,0.9914899140596389,0.01595934364013374,0.0029263823933433743,0.0040431231027469134,0.0029263823933433743,120372,0.0010591393802314997,4.5257368087768555
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,27000,30000,30000,fine,2284.2402787208557,2413.270404100418,129.03012537956238,37.0787992477417,0.9914388328790664,0.016036802250891925,0.0029318599204998463,0.004057721360586593,0.0029318599204998463,120372,0.0010964896064251661,4.560275077819824
4DGaussians (Wu et al.),4DGaussians,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,3000,1,3001,3001,fine,44.43639850616455,44.43639850616455,0.0,7.633757781982422,0.6893565893173218,0.2872969709336758,0.2421186026185751,0.25582356423139574,0.2421186026185751,26907,0.28658241033554077,13.619091510772705
4DGaussians (Wu et al.),4DGaussians,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,3000,474,3474,3474,fine,74.44138717651367,88.08663058280945,13.645243406295776,28.48082513809204,0.9708276748657226,0.052377890609204766,0.008147648721933364,0.012352584004402166,0.008147648721933364,26907,0.006287706550210714,3.847905158996582
4DGaussians (Wu et al.),4DGaussians,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,3000,994,3994,3994,fine,104.4642391204834,121.98617625236511,17.521937131881714,29.905811882019044,0.9766742557287216,0.03975721802562475,0.006324489088729024,0.009724740125238905,0.006324489088729024,29738,0.00853635836392641,3.9779162406921387
4DGaussians (Wu et al.),4DGaussians,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,3000,1526,4526,4526,fine,134.4982349872589,156.02300906181335,21.524774074554443,29.48618965148926,0.9776131808757782,0.03601152105256915,0.006042068800888955,0.009311018865555524,0.006042068800888955,34740,0.005773591808974743,3.937955379486084
4DGaussians (Wu et al.),4DGaussians,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,3000,2057,5057,5057,fine,164.49967288970947,189.98308801651,25.483415126800537,29.82854986190796,0.9782104969024659,0.0332275815308094,0.005614538444206119,0.008849531374871721,0.005614538444206119,39043,0.005003694444894791,3.9993836879730225
4DGaussians (Wu et al.),4DGaussians,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,3000,2576,5576,5576,fine,194.5018916130066,224.0137665271759,29.51187491416931,31.336841297149657,0.981890007853508,0.029538901522755623,0.004857899527996779,0.007508318051695825,0.004857899527996779,43507,0.004470219835639,4.056725978851318
4DGaussians (Wu et al.),4DGaussians,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,3000,3078,6078,6078,fine,224.50842809677124,258.09422874450684,33.585800647735596,32.364567852020265,0.9830032348632812,0.03138736747205258,0.0048501438810490075,0.0072794681321829615,0.0048501438810490075,48071,0.005959131754934788,4.051636219024658
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,1,3001,3001,fine,29.22224235534668,29.22224235534668,0.0,27.224032974243165,0.8782052785158158,0.11195048801600933,0.013520190375857055,0.03517509659752249,0.013520190375857055,4382,0.010079950094223022,5.356991767883301
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,1000,4000,4000,fine,56.731300830841064,62.098341941833496,5.367041110992432,33.34225616455078,0.9447922527790069,0.10201791152358056,0.005448384559713304,0.015400257091969263,0.005448384559713304,4624,0.0048613231629133224,3.9392828941345215
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,2000,5000,5000,fine,83.87465047836304,93.19504141807556,9.320390939712524,34.613708114624025,0.9547036617994309,0.09161528199911118,0.004511316597927362,0.012668320918455711,0.004511316597927362,5400,0.0043236566707491875,4.10621452331543
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,3000,6000,6000,fine,111.10233211517334,124.5420355796814,13.439703464508057,35.70497856140137,0.9605211287736892,0.08244238272309304,0.0039460149360820655,0.011052586194127807,0.0039460149360820655,5955,0.0027133815456181765,4.2995898723602295
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,4000,7000,7000,fine,138.4177429676056,156.16922092437744,17.75147795677185,36.32022953033447,0.9638819038867951,0.0762990964576602,0.0036307577742263676,0.010128225442022082,0.0036307577742263676,6339,0.0036537565756589174,4.428115606307983
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,5000,8000,8000,fine,165.5347249507904,187.7266662120819,22.191941261291504,36.76889553070068,0.9668531477451324,0.071086585521698,0.0034000405808910727,0.009349402915686374,0.0034000405808910727,6647,0.002829546108841896,4.256595611572266
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,6000,9000,9000,fine,192.68522834777832,219.16230154037476,26.477073192596436,37.23573055267334,0.969196817278862,0.0664983430877328,0.003193097619805485,0.008715114640071993,0.003193097619805485,6814,0.0025672605261206627,4.382237434387207
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,7000,10000,10000,fine,219.6147699356079,250.4894676208496,30.8746976852417,37.52519626617432,0.9708034485578537,0.06315945442765951,0.0030885083950124683,0.00831011700443923,0.0030885083950124683,6939,0.0020806079264730215,4.286167860031128
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,8000,11000,11000,fine,246.9302613735199,282.1074552536011,35.17719388008118,37.785240936279294,0.9719897985458374,0.060737117752432825,0.0029617306659929453,0.007971424823626868,0.0029617306659929453,7027,0.0023157019168138504,4.315129041671753
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,9000,12000,12000,fine,273.97149658203125,313.4773597717285,39.505863189697266,37.98915481567383,0.9729867190122604,0.058699617721140386,0.00288379427511245,0.007709691617637878,0.00288379427511245,7100,0.0022263696882873774,4.356420278549194
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,10000,13000,13000,fine,301.03364515304565,344.9132034778595,43.87955832481384,38.15496654510498,0.9736837893724442,0.05717550627887249,0.0028160649817436934,0.007516094110906124,0.0028160649817436934,7149,0.001983427908271551,4.281698703765869
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,11000,14000,14000,fine,328.25282979011536,376.4273910522461,48.17456126213074,38.23721981048584,0.9741992384195328,0.055993974953889844,0.0027825344528537243,0.007386179878376416,0.0027825344528537243,7189,0.0022533501032739878,4.297997951507568
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,12000,15000,15000,fine,355.33706855773926,407.82295298576355,52.48588442802429,38.365643692016604,0.9746860653162003,0.05497738197445869,0.002738523232983425,0.007253605523146685,0.002738523232983425,7233,0.0018639217596501112,4.287750005722046
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,13000,16000,16000,fine,382.4353919029236,439.22486758232117,56.78947567939758,38.3993335723877,0.9748631954193115,0.05416929945349693,0.002715484664076939,0.0071997486473992425,0.002715484664076939,7250,0.001795286196283996,4.368600845336914
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,14000,17000,17000,fine,409.3403284549713,470.5209505558014,61.18062210083008,38.44515209197998,0.9751662611961365,0.053612606786191466,0.0026845333632081747,0.007114374451339245,0.0026845333632081747,7259,0.001980411121621728,4.299222707748413
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,15000,18000,18000,fine,436.3636419773102,501.8591604232788,65.49551844596863,38.5000732421875,0.9754699617624283,0.052883418276906013,0.0026637683622539043,0.007037022337317468,0.0026637683622539043,7259,0.001863099285401404,4.301318883895874
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,16000,19000,19000,fine,462.80608916282654,532.6159689426422,69.80987977981567,38.53183097839356,0.9756271809339523,0.052455075457692145,0.0026456066756509245,0.006991049153730283,0.0026456066756509245,7259,0.001507914625108242,4.295708417892456
