method,method_short,scene,mode,run,partial,iteration_offset,iteration,total_iterations,images_seen,stage,training_time_s,wall_time_s,benchmark_overhead_s,psnr,ssim,lpips,eval_l1_loss,eval_photometric_loss,eval_loss,num_gaussians,train_batch_loss,eval_duration_s
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,6000,6000,12000,single_stage,619.7869350910187,647.2197649478912,27.43282985687256,32.49558162689209,0.9829557865858078,0.03349755266681313,0.005354141106363386,0.00769215556792914,0.005354141106363386,81520,0.001410274882800877,4.181331157684326
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,7000,7000,14000,single_stage,734.876327753067,766.4904887676239,31.614161014556885,32.73386459350586,0.9835116237401962,0.031800259929150344,0.005201938247773796,0.0074592258501798,0.005201938247773796,91471,0.0013034441508352757,4.201462745666504
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,8000,8000,16000,single_stage,852.6837403774261,888.4993641376495,35.81562376022339,32.88683795928955,0.983723908662796,0.030668893549591302,0.005081891175359487,0.007320731207728386,0.005081891175359487,105982,0.0013529832940548658,4.222047567367554
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,9000,9000,18000,single_stage,972.235915184021,1012.2735865116119,40.03767132759094,32.95548419952392,0.9836200028657913,0.030753568187355994,0.005087753618136048,0.007346202321350574,0.005087753618136048,120869,0.0010138783836737275,4.184590101242065
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,10000,10000,20000,single_stage,1097.0793747901917,1141.3016362190247,44.22226142883301,33.12907285690308,0.9839548945426941,0.02961606243625283,0.005028242513071745,0.007231615101918569,0.005028242513071745,126958,0.0014664391055703163,4.2061967849731445
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,11000,11000,22000,single_stage,1220.6923382282257,1269.1207964420319,48.42845821380615,33.08040246963501,0.9839619606733322,0.02952798535116017,0.004983275337144733,0.007194228135049349,0.004983275337144733,126958,0.0008717079181224108,4.242073059082031
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,12000,12000,24000,single_stage,1340.4178869724274,1393.0884182453156,52.670531272888184,33.055420589447024,0.9838164180517197,0.029434151435270905,0.004944745451211929,0.0071925127506256015,0.004944745451211929,126958,0.001138917519710958,4.223802089691162
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,13000,13000,26000,single_stage,1461.1402118206024,1518.0345451831818,56.894333362579346,33.181621646881105,0.9840422093868255,0.029230078775435687,0.004922065569553524,0.007129210578277716,0.004922065569553524,126958,0.0008159527787938714,4.245254278182983
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,14000,14000,28000,single_stage,1584.822811126709,1645.9623987674713,61.13958764076233,33.151000595092775,0.9840307682752609,0.02884350512176752,0.004878350405488163,0.007096526669338346,0.004878350405488163,126958,0.0010119985090568662,4.240318059921265
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,15000,15000,30000,single_stage,1705.3842902183533,1770.7641959190369,65.3799057006836,33.23397264480591,0.983771687746048,0.02905655396170914,0.004865388479083776,0.007137973234057431,0.004865388479083776,126958,0.0008885306888259947,4.192560434341431
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,16000,16000,32000,single_stage,1830.0744676589966,1899.6469337940216,69.57246613502502,33.2451189994812,0.9839595347642899,0.029169222991913556,0.004866132873576135,0.007100999346002933,0.004866132873576135,126958,0.000998530420474708,4.181774854660034
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,17000,17000,34000,single_stage,1953.9641847610474,2027.7184257507324,73.75424098968506,33.116394424438475,0.9836691439151763,0.02927342280745506,0.004887231439352035,0.007175956368446359,0.004887231439352035,126958,0.001206152606755495,4.17717719078064
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,18000,18000,36000,single_stage,2073.073882818222,2151.0053009986877,77.9314181804657,33.22365770339966,0.9838811725378036,0.029269350133836268,0.004840966581832617,0.007096538757905373,0.004840966581832617,126958,0.0011226297356188297,4.230003356933594
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,19000,19000,38000,single_stage,2191.8926899433136,2274.054111480713,82.16142153739929,33.20970211029053,0.983617228269577,0.02952453950420022,0.004873005824629217,0.007174959005787978,0.004873005824629217,126958,0.0008325442904606462,4.1848413944244385
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,20000,20000,40000,single_stage,2309.8169071674347,2396.1631700992584,86.34626293182373,33.13878335952759,0.9837176889181137,0.029051797324791552,0.004874870926141739,0.007156358957290646,0.004874870926141739,126958,0.0010244151344522834,4.18684983253479
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,21000,21000,42000,single_stage,2426.854014635086,2517.3871273994446,90.53311276435852,33.225269603729245,0.98386450111866,0.0290415333583951,0.00484768368769437,0.007105246726423502,0.00484768368769437,126958,0.0011323192156851292,4.2332048416137695
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,22000,22000,44000,single_stage,2543.5938098430634,2638.3601274490356,94.76631760597229,33.24030876159668,0.9838890999555587,0.02903967387974262,0.004851154668722301,0.007103103743866095,0.004851154668722301,126958,0.0009282099781557918,4.19584584236145
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,23000,23000,46000,single_stage,2659.9602060317993,2758.922369480133,98.96216344833374,33.22074546813965,0.9839080691337585,0.02904138625599444,0.004856842278968543,0.007103859996423134,0.004856842278968543,126958,0.0010230011539533734,4.191713809967041
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,24000,24000,48000,single_stage,2775.6657667160034,2878.819643974304,103.15387725830078,33.102061939239505,0.9836514681577683,0.02933871201239526,0.0049052391084842386,0.0071938976552337365,0.0049052391084842386,126958,0.0011165156029164791,4.241854906082153
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,25000,25000,50000,single_stage,2891.168528318405,2998.564260482788,107.39573216438293,33.09732809066772,0.9837133824825287,0.029190368903800844,0.004943386476952583,0.007212032685056324,0.004943386476952583,126958,0.0009319136152043939,4.192574977874756
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,26000,26000,52000,single_stage,3006.1349442005157,3117.7232513427734,111.58830714225769,33.08655757904053,0.983541950583458,0.029242862248793244,0.0049166260985657574,0.007224910762161017,0.0049166260985657574,126958,0.0009195377351716161,4.182791709899902
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,27000,27000,54000,single_stage,3120.8142516613007,3236.5853505134583,115.77109885215759,33.035373783111574,0.9835666954517365,0.02922570127993822,0.00493515885900706,0.007234787996858354,0.00493515885900706,126958,0.0008850388112477958,4.18287205696106
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,28000,28000,56000,single_stage,3235.3567650318146,3355.3107359409332,119.95397090911865,33.04566555023193,0.9835917204618454,0.029362322762608528,0.004926416685339064,0.007222789255902171,0.004926416685339064,126958,0.0010509315179660916,4.203333377838135
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,29000,29000,58000,single_stage,3349.314653635025,3473.471957921982,124.15730428695679,33.08586950302124,0.9834756910800934,0.029488863423466682,0.004934587876778096,0.007252532085403805,0.004934587876778096,126958,0.0008566989563405514,4.232328414916992
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,iterations,bouncingballs_iters30000,False,0,30000,30000,60000,single_stage,3462.619880437851,3591.0095131397247,128.38963270187378,33.05039329528809,0.9834076225757599,0.029445787006989122,0.0049384054145775735,0.007269199816510086,0.0049384054145775735,126958,0.0009462557500228286,4.230005502700806
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,2,2,4,single_stage,8.821487426757812e-06,8.821487426757812e-06,0.0,6.745207023620606,0.24708094857633114,0.25575586333870887,0.44732787013053893,0.508446106389165,0.44732787013053893,100000,0.262695848941803,6.742891073226929
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,173,173,346,single_stage,30.075089931488037,36.953516244888306,6.8784263134002686,15.521738195419312,0.8963359326124192,0.1555191956460476,0.0933567265048623,0.09541819468140601,0.0933567265048623,100000,0.03216305747628212,4.177154779434204
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,442,442,884,single_stage,60.17525315284729,71.85110998153687,11.675856828689575,22.501097393035888,0.9373926907777786,0.10845730565488339,0.031382376607507464,0.037627363130450245,0.031382376607507464,100000,0.016335908323526382,4.316864967346191
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,734,734,1468,single_stage,90.23537182807922,106.68497109413147,16.449599266052246,24.351552200317382,0.9482216030359268,0.09842703230679035,0.02232980658300221,0.0282195246592164,0.02232980658300221,11198,0.013754638843238354,4.164435863494873
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,1055,1055,2110,single_stage,120.26539754867554,140.97915601730347,20.71375846862793,25.04981060028076,0.9527054816484452,0.09253960102796555,0.01932007810100913,0.024914966151118274,0.01932007810100913,14158,0.010980799794197083,4.133660554885864
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,1368,1368,2736,single_stage,150.289897441864,175.21537733078003,24.925479888916016,26.511537075042725,0.9623468548059464,0.07947150766849517,0.01604325892403722,0.020365236178040497,0.01604325892403722,16310,0.007149640470743179,4.234450578689575
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,1676,1676,3352,single_stage,180.35945343971252,209.6238660812378,29.26441264152527,26.73965835571289,0.9640415698289871,0.07675477266311645,0.01587542607448995,0.01989202689379453,0.01587542607448995,21406,0.009300347417593002,4.231078624725342
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,1977,1977,3954,single_stage,210.36338806152344,243.95855379104614,33.595165729522705,27.503437995910645,0.9676389247179031,0.06966338958591223,0.014586365735158324,0.01814130764454603,0.014586365735158324,24382,0.006981830112636089,4.2009971141815186
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,2280,2280,4560,single_stage,240.4019570350647,278.3013188838959,37.89936184883118,28.857730197906495,0.9713753402233124,0.05976042114198208,0.009472686564549804,0.013303081206977364,0.009472686564549804,30661,0.004269038327038288,4.2040205001831055
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,2576,2576,5152,single_stage,270.4837427139282,312.7358076572418,42.2520649433136,29.69261302947998,0.9749137610197067,0.05208076331764459,0.008052622666582465,0.011459345929324627,0.008052622666582465,33732,0.005464102141559124,4.216707706451416
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,2878,2878,5756,single_stage,300.60835242271423,347.2948548793793,46.68650245666504,29.72885456085205,0.9759620308876038,0.05004600025713444,0.007653638161718846,0.010930504351854317,0.007653638161718846,39816,0.0035348301753401756,4.243133544921875
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,3146,3146,6292,single_stage,330.7344892024994,381.8497681617737,51.11527895927429,29.73883934020996,0.975712674856186,0.04717211090028286,0.007774979528039694,0.011077448651194564,0.007774979528039694,42774,0.004267983604222536,4.266685962677002
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,3420,3420,6840,single_stage,360.75324964523315,416.3447515964508,55.59150195121765,30.25044345855713,0.9765152484178543,0.04742447873577475,0.00692668769042939,0.010238300468772651,0.00692668769042939,46574,0.004477149806916714,4.227526426315308
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,3692,3692,7384,single_stage,390.7849471569061,450.796434879303,60.01148772239685,30.85506401062012,0.9791371315717697,0.04262737464159727,0.006384242337662727,0.009279967555776234,0.006384242337662727,49303,0.0026171498466283083,4.219804525375366
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,3966,3966,7932,single_stage,420.8168604373932,485.4037981033325,64.58693766593933,31.113496398925783,0.9801960021257401,0.03967113308608532,0.006066039332654327,0.008813631040975444,0.006066039332654327,52092,0.0022103230003267527,4.254495143890381
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,4238,4238,8476,single_stage,450.86384201049805,519.9438655376434,69.08002352714539,31.29518280029297,0.980355241894722,0.039952849969267845,0.005951812048442662,0.00869040125980973,0.005951812048442662,57660,0.0026311655528843403,4.214916944503784
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,4508,4508,9016,single_stage,480.8818852901459,554.4251761436462,73.54329085350037,31.861401653289796,0.9819188207387924,0.036649558134377,0.005588760075625032,0.008087243912741538,0.005588760075625032,60475,0.00199296441860497,4.226652383804321
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,4779,4779,9558,single_stage,510.94093918800354,589.1088292598724,78.1678900718689,32.023368453979494,0.9823070198297501,0.03546834457665682,0.005464525683782995,0.007910216581076376,0.005464525683782995,63253,0.002391765359789133,4.293169260025024
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,5051,5051,10102,single_stage,541.0307846069336,623.7284300327301,82.69764542579651,31.992618751525878,0.9817853778600693,0.036381736490875484,0.0055751528590917586,0.008103046715259556,0.0055751528590917586,68779,0.0020492207258939743,4.228864431381226
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,5317,5317,10634,single_stage,571.1294541358948,658.070764541626,86.9413104057312,32.11589498519898,0.9824435621500015,0.03451337479054928,0.005438569583930075,0.00786214323714376,0.005438569583930075,71675,0.0022746818140149117,4.234308481216431
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,5589,5589,11178,single_stage,601.2002558708191,692.8689851760864,91.66872930526733,32.22947120666504,0.982798558473587,0.03401002986356616,0.005349215969908982,0.007719661081209788,0.005349215969908982,74508,0.0019219857640564442,4.270243406295776
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,5857,5857,11714,single_stage,631.29359126091,727.562570810318,96.26897954940796,32.245458889007566,0.9826945990324021,0.033875033352524044,0.005322228057775646,0.007718862639740101,0.005322228057775646,80262,0.0014232906978577375,4.231359004974365
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,6115,6115,12230,single_stage,661.3647193908691,762.2251582145691,100.86043882369995,31.5649395942688,0.9806651294231414,0.03600685922428966,0.006066163792274893,0.008719905149191628,0.006066163792274893,83108,0.0020412257872521877,4.252854585647583
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,6369,6369,12738,single_stage,691.4672906398773,796.5941474437714,105.12685680389404,32.42044324874878,0.982983049750328,0.032831089291721585,0.005369465902913362,0.007698962772265085,0.005369465902913362,81893,0.0014140127459540963,4.274680137634277
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,6622,6622,13244,single_stage,721.5400972366333,831.3032851219177,109.76318788528442,31.875076675415038,0.9815689206123352,0.03497468866407871,0.005587650986853987,0.00815633666701614,0.005587650986853987,87231,0.0016970705473795533,4.236169099807739
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,6879,6879,13758,single_stage,751.6316714286804,865.6445515155792,114.0128800868988,32.41889133453369,0.9830758273601532,0.03234884915873408,0.00529222892364487,0.007618617666885257,0.00529222892364487,89944,0.0014175891410559416,4.252624273300171
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,7146,7146,14292,single_stage,781.6385450363159,899.9184856414795,118.27994060516357,32.6315975189209,0.9834735810756683,0.031593456491827966,0.005200256407260895,0.007465488910675058,0.005200256407260895,92753,0.0015401830896735191,4.272583961486816
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,7407,7407,14814,single_stage,811.7337486743927,934.6945016384125,122.96075296401978,31.518788146972657,0.9811107397079468,0.03445052513852716,0.005598545446991921,0.008256688416004174,0.005598545446991921,98358,0.002016147831454873,4.254159927368164
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,7661,7661,15322,single_stage,841.7523415088654,968.9805965423584,127.22825503349304,32.49490270614624,0.9832426130771637,0.03149263439700008,0.00520306657999754,0.0075139306485653016,0.00520306657999754,101239,0.0011970086488872766,4.258293151855469
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,7915,7915,15830,single_stage,871.8447186946869,1003.3457818031311,131.5010631084442,32.739037322998044,0.9836571037769317,0.031307476572692394,0.005128855747170746,0.0073716638423502534,0.005128855747170746,104103,0.0009740673704072833,4.317534685134888
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,8168,8168,16336,single_stage,901.8906996250153,1038.3326754570007,136.44197583198547,32.697642707824706,0.9836304634809494,0.030926067661494017,0.005144165642559528,0.007389239817857742,0.005144165642559528,107035,0.0017022073734551668,4.243845224380493
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,8420,8420,16840,single_stage,931.977301120758,1072.6780710220337,140.70076990127563,31.884448337554932,0.9819022297859192,0.03392594186589122,0.00540494171436876,0.007943507414311162,0.00540494171436876,113019,0.0017222996102645993,4.24847936630249
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,8671,8671,17342,single_stage,962.0188553333282,1106.9887902736664,144.96993494033813,32.72884645462036,0.9835563719272613,0.03089521136134863,0.005162811302579939,0.0074189746566116896,0.005162811302579939,116021,0.001210816903039813,4.283108472824097
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,8916,8916,17832,single_stage,992.0904884338379,1141.359799861908,149.26931142807007,32.80524339675903,0.9836497336626053,0.030716884462162853,0.0050820823758840564,0.0073357191681861795,0.0050820823758840564,119062,0.0010814208071678877,4.245952844619751
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,9156,9156,18312,single_stage,1022.194972038269,1176.302417755127,154.1074457168579,32.3782922744751,0.982289919257164,0.03197612976655364,0.00549602210521698,0.007938833832740778,0.00549602210521698,122073,0.001403949223458767,4.29896092414856
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,9400,9400,18800,single_stage,1052.271487236023,1210.7018613815308,158.4303741455078,32.71034183502197,0.9833209931850433,0.030761027056723834,0.005168377736117691,0.0074705035518854955,0.005168377736117691,116698,0.0014520918484777212,4.289808511734009
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,9651,9651,19302,single_stage,1082.2894222736359,1245.0244290828705,162.73500680923462,32.781936931610105,0.983423188328743,0.030331841250881553,0.0051250767428427935,0.007415423728525639,0.0051250767428427935,122404,0.0012026004260405898,4.244670391082764
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,9896,9896,19792,single_stage,1112.3409216403961,1279.3364217281342,166.99550008773804,32.95637502670288,0.9838931649923325,0.03000290021300316,0.005038609250914305,0.007252254402264948,0.005038609250914305,125436,0.0009762788540683687,4.264422178268433
4DGS native-4D (fudan-zvg),4DGS-fudan,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,0,10141,10141,20282,single_stage,1142.3722932338715,1314.4550325870514,172.08273935317993,32.91668329238892,0.9838807076215744,0.02985876575112343,0.005067770567256958,0.007278074929490681,0.005067770567256958,125436,0.0014163858722895384,4.335193634033203
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,2,2,2,single_stage,6.67572021484375e-06,6.67572021484375e-06,0.0,6.435346293449402,0.0497822243720293,0.18754202947020532,0.4704053923487663,0.5663678690046072,0.4704053923487663,100000,0.580154299736023,14.51006031036377
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,1000,1000,1000,single_stage,52.964399576187134,67.59077310562134,14.626373529434204,30.633659267425536,0.9360263675451279,0.11673107258975506,0.007896562316454947,0.019111976344138377,0.007896562316454947,4465,0.02443014271557331,3.7264344692230225
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,2000,2000,2000,single_stage,91.78791952133179,110.2050256729126,18.41710615158081,31.69433479309082,0.9442341715097428,0.10724675953388214,0.006827776273712516,0.016615386717021462,0.006827776273712516,15737,0.013895384967327118,3.8503332138061523
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,3000,3000,3000,single_stage,135.2771315574646,157.6448531150818,22.367721557617188,32.59141788482666,0.9487278312444687,0.09854737594723702,0.006098383595235646,0.01513314062729478,0.006098383595235646,33345,0.009496945887804031,3.99570631980896
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,4000,4000,4000,single_stage,180.951336145401,207.48376560211182,26.532429456710815,33.25539093017578,0.9517303466796875,0.09280022084712983,0.00554955187253654,0.014093572162091738,0.00554955187253654,51559,0.008396153338253498,3.954885959625244
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,5000,5000,5000,single_stage,227.6202414035797,258.34155535697937,30.721313953399658,33.72977294921875,0.9536132782697677,0.08784109130501747,0.005243466887623072,0.013472117856144914,0.005243466887623072,84286,0.005531594157218933,3.934514045715332
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,6000,6000,6000,single_stage,276.96372151374817,311.9720571041107,35.00833559036255,33.89723892211914,0.954178762435913,0.08448851201683283,0.005140453635249287,0.01327661042101682,0.005140453635249287,123722,0.00667581707239151,4.0159125328063965
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,7000,7000,7000,single_stage,326.678505897522,366.34628677368164,39.66778087615967,33.88399753570557,0.9543320089578629,0.08221433125436306,0.005144137982279062,0.01324890859425068,0.005144137982279062,140700,0.0073485709726810455,3.9541306495666504
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,8000,8000,8000,single_stage,384.6724421977997,428.30819034576416,43.63574814796448,33.88537712097168,0.9544995129108429,0.07971725519746542,0.005129509919788689,0.013203705353662373,0.005129509919788689,190609,0.005365448538213968,3.976702928543091
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,9000,9000,9000,single_stage,451.6622807979584,499.28859305381775,47.626312255859375,33.88563899993896,0.9540838748216629,0.07803286258131266,0.005137788271531463,0.01329345565289259,0.005137788271531463,242166,0.004627377726137638,4.004788160324097
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,10000,10000,10000,single_stage,516.0188376903534,567.6646463871002,51.645808696746826,33.93004302978515,0.9543518275022507,0.0767607819288969,0.005103094875812531,0.01321211040019989,0.005103094875812531,238918,0.004028957337141037,3.994105577468872
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,11000,11000,11000,single_stage,586.7901968955994,644.1676979064941,57.377501010894775,33.86856555938721,0.9541474491357803,0.07565817274153233,0.0051188500132411715,0.013265590183436876,0.0051188500132411715,293116,0.00396751007065177,3.995899200439453
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,12000,12000,12000,single_stage,663.2653923034668,724.6578221321106,61.3924298286438,33.842977333068845,0.9537902802228928,0.07482274007052184,0.005143511609639972,0.013356753243133417,0.005143511609639972,343011,0.0036638393066823483,4.0580668449401855
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,13000,13000,13000,single_stage,736.0127713680267,801.4848599433899,65.47208857536316,33.7867467880249,0.9537779241800308,0.07411770261824131,0.005159747914876789,0.013372213495895267,0.005159747914876789,323890,0.003008183790370822,4.021938323974609
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,14000,14000,14000,single_stage,815.7863750457764,885.2963993549347,69.51002430915833,33.8038408279419,0.9537050932645798,0.07311817351728678,0.005149594228714705,0.013378656730055814,0.005149594228714705,370539,0.003343666438013315,4.067257881164551
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,15000,15000,15000,single_stage,899.1539030075073,972.7451846599579,73.59128165245056,33.75507936477661,0.9531976372003556,0.07269054986536502,0.005184327135793865,0.013507934268563983,0.005184327135793865,410118,0.0021765483543276787,4.0713605880737305
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,16000,16000,16000,single_stage,984.4409494400024,1062.1179795265198,77.67703008651733,33.747689151763915,0.9530683428049087,0.0722762692719698,0.005199204059317708,0.013545694686472425,0.005199204059317708,410118,0.0019450016552582383,4.051657676696777
4DGS native-4D (fudan-zvg),4DGS-fudan,hellwarrior,iterations,hellwarrior_iters30000,False,0,17000,17000,17000,single_stage,1069.8309354782104,1151.5756387710571,81.74470329284668,33.737788105010985,0.9530857503414154,0.07154995407909155,0.0051795101840980354,0.013526458078995347,0.0051795101840980354,410118,0.002641666680574417,4.048489093780518
